Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
7653,"C Wohlin, P Runeson, M Höst, MC Ohlsson, B Regnell…","Experimentation in software engineering",2012,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=QPVsM1_U8nkC&oi=fnd&pg=PR5&dq=software+engineering&ots=GPv0u9oOuq&sig=0pIZTPZ-jAw7ju79GBwyjcWqtZ8","https://scholar.google.com/scholar?cites=1197525888986143580&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-05-11 13:03:30","BOOK","","","",,,,,7653,850.33,1276,6,9,"Like other sciences and engineering disciplines, software engineering requires a cycle of model building, experimentation, and learning. Experiments are valuable tools for all software engineers who are involved in evaluating and choosing between different methods …"
441,"R Mall","Fundamentals of software engineering",2018,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=-JNuDwAAQBAJ&oi=fnd&pg=PP1&dq=software+engineering&ots=PAHe4PZcjd&sig=GvsIdIScEF1dOERiD1vMsQ2zOPA","https://scholar.google.com/scholar?cites=227629719296600558&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-05-11 13:03:30","BOOK","","","",,,,,441,147.00,441,1,3,"This new edition of the book, is restructured to trace the advancements made and landmarks achieved in software engineering. The text not only incorporates latest and enhanced software engineering techniques and practices, but also shows how these techniques are …"
698,"P Jalote","An integrated approach to software engineering",2012,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=Hi_vBwAAQBAJ&oi=fnd&pg=PR5&dq=software+engineering&ots=VWLvhxulYJ&sig=eZsK0uH-EPbHyg2vC6syBMt143c","https://scholar.google.com/scholar?cites=6550574024585104955&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-05-11 13:03:30","BOOK","","","",,,,,698,77.56,698,1,9,"A lot has changed in the fast-moving area of software engineering since the first edition of this book came out. However, two particularly dominant trends are clearly discernible: focus on software processes and object-orientation. A lot more attention is now given to software …"
1051,"N Juristo, AM Moreno","Basics of software engineering experimentation",2013,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=iJTkBwAAQBAJ&oi=fnd&pg=PR11&dq=software+engineering&ots=VQQ7xEFBTW&sig=PbDhtP4cvaYNVXXOno3nggAr044","https://scholar.google.com/scholar?cites=8186766832137197910&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-05-11 13:03:30","BOOK","","","",,,,,1051,131.38,526,2,8,"Basics of Software Engineering Experimentation is a practical guide to experimentation in a field which has long been underpinned by suppositions, assumptions, speculations and beliefs. It demonstrates to software engineers how Experimental Design and Analysis can …"
491,"NMA Munassar, A Govardhan","A comparison between five models of software engineering",2010,"International Journal of Computer Science …","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.402.8120&rep=rep1&type=pdf#page=115","https://scholar.google.com/scholar?cites=7084013563358304757&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-05-11 13:03:30","PDF","","","",,,,,491,44.64,246,2,11,"This research deals with a vital and important issue in computer world. It is concerned with the software management processes that examine the area of software development through the development models, which are known as software development life cycle. It …"
118,"R Stephens","Beginning software engineering",2015,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=SyHWBgAAQBAJ&oi=fnd&pg=PP1&dq=software+engineering&ots=3XlYYb8VNM&sig=rry2IImKywg5jB_bczXOuhfikh4","https://scholar.google.com/scholar?cites=18332103045666612272&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-05-11 13:03:30","BOOK","","","",,,,,118,19.67,118,1,6,"A complete introduction to building robust and reliable software Beginning Software Engineering demystifies the software engineering methodologies and techniques that professional developers use to design and build robust, efficient, and consistently reliable …"
103,"A Noureddine, A Bourdon, R Rouvoy…","A preliminary study of the impact of software engineering on greenit",2012,"… Sustainable Software …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6224251/","https://scholar.google.com/scholar?cites=7787505497553254867&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-05-11 13:03:30","","","","",,,,,103,11.44,26,4,9,"GreenIT has emerged as a discipline concerned with the optimization of software solutions with regards to their energy consumption. In this domain, most of state-of-the-art solutions offer limited or constraining approaches to monitor the energy consumption of a device or a …"
502,"M Robillard, R Walker, T Zimmermann","Recommendation systems for software engineering",2009,"IEEE software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5235134/","https://scholar.google.com/scholar?cites=8072591084683138361&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-05-11 13:03:30","","","","",,,,,502,41.83,167,3,12,"Software development can be challenging because of the large information spaces that developers must navigate. Without assistance, developers can become bogged down and spend a disproportionate amount of their time seeking information at the expense of other …"
615,"AJ Ko, R Abraham, L Beckwith, A Blackwell…","The state of the art in end-user software engineering",2011,"ACM Computing …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1922649.1922658","https://scholar.google.com/scholar?cites=5556567274419057435&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-05-11 13:03:30","","","","",,,,,615,61.50,123,5,10,"Most programs today are written not by professional software developers, but by people with expertise in other domains working towards goals for which they need computational support. For example, a teacher might write a grading spreadsheet to save time grading, or …"
1240,"M Brambilla, J Cabot, M Wimmer","Model-driven software engineering in practice",2017,"… on software engineering","morganclaypool.com","https://www.morganclaypool.com/doi/abs/10.2200/S00751ED2V01Y201701SWE004","https://scholar.google.com/scholar?cites=4796079812203773998&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-05-11 13:03:30","","","","",,,,,1240,310.00,413,3,4,"This book discusses how model-based approaches can improve the daily practice of software professionals. This is known as Model-Driven Software Engineering (MDSE) or, simply, Model-Driven Engineering (MDE). MDSE practices have proved to increase …"
