Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
32,"U Nikula, C Jurvanen, O Gotel, DC Gause","Empirical validation of the Classic Change Curve on a software technology change project",2010,"… and Software Technology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584910000170","https://scholar.google.com/scholar?cites=3759959891971750096&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-05-11 13:43:02","","","","",,,,,32,2.91,8,4,11,"Context New processes, tools, and practices are being introduced into software companies at an increasing rate. With each new advance in technology, software managers need to consider not only whether it is time to change the technologies currently used, but also …"
97,"C Lebeuf, MA Storey, A Zagalsky","Software bots",2017,"IEEE Software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8239928/","https://scholar.google.com/scholar?cites=15111055029635721806&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-05-11 13:43:02","","","","",,,,,97,24.25,32,3,4,"… Editor: Christof Ebert Vector Consulting Services christof.ebert@vector.com SOFTWARE TECHNOLOGY Software Bots Carlene Lebeuf, Margaret-Anne Storey, and Alexey Zagalsky … Page 2. SOFTWARE TECHNOLOGY JANUARY/FEBRUARY 2018 | IEEE SOFTWARE 19 …"
34,"SM Ogle, L Buendia, K Butterbach-Bahl…","Advancing national greenhouse gas inventories for agriculture in developing countries: improving activity data, emission factors and software technology",2013,"Environmental …","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/1748-9326/8/1/015030/meta","https://scholar.google.com/scholar?cites=3354150435710991870&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-05-11 13:43:02","","","","",,,,,34,4.25,9,4,8,"Developing countries face many challenges when constructing national inventories of greenhouse gas (GHG) emissions, such as lack of activity data, insufficient measurements for deriving country-specific emission factors, and a limited basis for assessing GHG …"
2691,"B Kitchenham, OP Brereton, D Budgen…","Systematic literature reviews in software engineering–a systematic literature review",2009,"… and software technology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584908001390","https://scholar.google.com/scholar?cites=14563517766994888844&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-05-11 13:43:02","","","","",,,,,2691,224.25,673,4,12,"Background In 2004 the concept of evidence-based software engineering (EBSE) was introduced at the ICSE04 conference. Aims This study assesses the impact of systematic literature reviews (SLRs) which are the recommended EBSE method for aggregating …"
558,"A Brem, KI Voigt","Integration of market pull and technology push in the corporate front end and innovation management—Insights from the German software industry",2009,"Technovation","Elsevier","https://www.sciencedirect.com/science/article/pii/S0166497208000898","https://scholar.google.com/scholar?cites=7881144099338009803&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-05-11 13:43:02","","","","",,,,,558,46.50,279,2,12,"Within the framework of this paper, an extensive literature overview of technology and innovation management aspects on market pull and technology push will be given. The existing classification of market pull and technology push will be particularly shown and …"
82,"N Mehta, D Hall, T Byrd","Information technology and knowledge in software development teams: The role of project uncertainty",2014,"Information & Management","Elsevier","https://www.sciencedirect.com/science/article/pii/S0378720614000226","https://scholar.google.com/scholar?cites=15260515542266240764&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-05-11 13:43:02","","","","",,,,,82,11.71,27,3,7,"Abstract Knowledge is a strategic resource; information technology (IT) is presumed to facilitate its movement among organizational members. The relevant literature, however, is inconclusive. This study reports the results of the effect of IT on knowledge-sharing …"
51,"H Katzan Jr","Cloud software service: concepts, technology, economics",2009,"Service Science","pubsonline.informs.org","https://pubsonline.informs.org/doi/abs/10.1287/serv.1.4.256","https://scholar.google.com/scholar?cites=18385842473020201183&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-05-11 13:43:02","","","","",,,,,51,4.25,51,1,12,"Cloud software service is a modality for providing computer facilities and deploying software via the Internet. The concept combines Cloud Computing and Software-as-a-Service (SaaS). Cloud computing represents a contextual shift in how computers are provisioned and …"
111,"K Ruthven, R Deaney, S Hennessy","Using graphing software to teach about algebraic forms: A study of technology-supported practice in secondary-school mathematics",2009,"Educational studies in mathematics","Springer","https://link.springer.com/article/10.1007/s10649-008-9176-7","https://scholar.google.com/scholar?cites=12116117816997607321&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-05-11 13:43:02","HTML","","","",,,,,111,9.25,37,3,12,"From preliminary analysis of teacher-nominated examples of successful technology-supported practice in secondary-school mathematics, the use of graphing software to teach about algebraic forms was identified as being an important archetype. Employing evidence …"
97,"AM Christie","Software process automation: the technology and its adoption",2012,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=WcqoCAAAQBAJ&oi=fnd&pg=PA1&dq=software+technology&ots=KTmwx-VZk1&sig=ktm_oFKvYR6QU9FD8ZZhWG-z3eg","https://scholar.google.com/scholar?cites=4048985275901982362&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-05-11 13:43:02","BOOK","","","",,,,,97,10.78,97,1,9,"Process automation provides a means to integrate people in a software development organization with the development process and the tools supporting that development. This new technology may significantly improve software quality and development productivity …"
68,"D Simeonidou, R Nejabati…","Software defined optical networks technology and infrastructure: Enabling software-defined optical network operations",2013,"2013 Optical Fiber …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6532863/","https://scholar.google.com/scholar?cites=12328338424657683011&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-05-11 13:43:02","","","","",,,,,68,8.50,23,3,8,"A control plane architecture based on OpenFlow for optical SDN is introduced. Requirements for its implementation are discussed considering emerging optical transport technologies. Two implementations of the architecture and results on their performance are …"
