Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
435,"R Mall","Fundamentals of software engineering",2018,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=-JNuDwAAQBAJ&oi=fnd&pg=PP1&dq=software+engineering&ots=PAGm4TW8kc&sig=98DG838iSYWM3XpPhTKhveDvml4","https://scholar.google.com/scholar?cites=227629719296600558&as_sdt=2005&sciodt=2007&hl=en",1,"2021-04-19 20:05:26","BOOK","","","",,,,,435,145.00,435,1,3,"This new edition of the book, is restructured to trace the advancements made and landmarks achieved in software engineering. The text not only incorporates latest and enhanced software engineering techniques and practices, but also shows how these techniques are …"
1226,"M Brambilla, J Cabot, M Wimmer","Model-driven software engineering in practice",2017,"… on software engineering","morganclaypool.com","https://www.morganclaypool.com/doi/abs/10.2200/S00751ED2V01Y201701SWE004","https://scholar.google.com/scholar?cites=4796079812203773998&as_sdt=2005&sciodt=2007&hl=en",2,"2021-04-19 20:05:26","","","","",,,,,1226,306.50,409,3,4,"This book discusses how model-based approaches can improve the daily practice of software professionals. This is known as Model-Driven Software Engineering (MDSE) or, simply, Model-Driven Engineering (MDE). MDSE practices have proved to increase …"
118,"C Page, HW Six","Software Engineering",2017,"Larsen and Keller Education","repo.mimitlibrary.ac.in","http://repo.mimitlibrary.ac.in:8080/jspui/bitstream/123456789/6319/1/Software%20Engineering%20BS-302.pdf","https://scholar.google.com/scholar?cites=15367625980789631441&as_sdt=2005&sciodt=2007&hl=en",3,"2021-04-19 20:05:26","","","","",,,,,118,29.50,59,2,4,"1. a) What are drawbacks of Spiral Model? b) What is the role of Metrics? c) Write a short note on use case diagrams? d) Define Lattice Model? e) Write a short note on ER diagram? f) Explain software cost estimation in project planning? g) Distinguish between verification & …"
22,"G Booch","The history of software engineering",2018,"IEEE Software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8474489/","https://scholar.google.com/scholar?cites=16004828024016130033&as_sdt=2005&sciodt=2007&hl=en",4,"2021-04-19 20:05:26","","","","",,,,,22,7.33,22,1,3,"Grady Booch, one of UML's original authors, offers his perspective on the history of software engineering. This article is part of a theme issue on software engineering's 50th anniversary. The Web Extra, a version of the article with an expanded bibliography, is at https://extras …"
142,"B Kitchenham, L Madeyski, D Budgen, J Keung…","Robust statistical methods for empirical software engineering",2017,"… Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-016-9437-5","https://scholar.google.com/scholar?cites=16050007712165093534&as_sdt=2005&sciodt=2007&hl=en",5,"2021-04-19 20:05:26","HTML","","","",,,,,142,35.50,28,5,4,"There have been many changes in statistical theory in the past 30 years, including increased evidence that non-robust methods may fail to detect important results. The statistical advice available to software engineering researchers needs to be updated to …"
179,"S Amershi, A Begel, C Bird, R DeLine…","Software engineering for machine learning: A case study",2019,"… Engineering …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8804457/","https://scholar.google.com/scholar?cites=11063997254432358126&as_sdt=2005&sciodt=2007&hl=en",6,"2021-04-19 20:05:26","","","","",,,,,179,89.50,36,5,2,"Recent advances in machine learning have stimulated widespread interest within the Information Technology sector on integrating AI capabilities into software and services. This goal has forced organizations to evolve their development processes. We report on a study …"
59,"RJ Leach","Introduction to software engineering",2018,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=qkQPEAAAQBAJ&oi=fnd&pg=PP1&dq=software+engineering&ots=DvRntHDOm9&sig=qgorFYLSHXWMZyicpkxKn6rPI7A","https://scholar.google.com/scholar?cites=11520576681072162175&as_sdt=2005&sciodt=2007&hl=en",7,"2021-04-19 20:05:26","BOOK","","","",,,,,59,19.67,59,1,3,"Practical Guidance on the Efficient Development of High-Quality Software Introduction to Software Engineering, Second Edition equips students with the fundamentals to prepare them for satisfying careers as software engineers regardless of future changes in the field …"
48,"KJ Stol, B Fitzgerald","The ABC of software engineering research",2018,"ACM Transactions on Software Engineering and …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3241743","https://scholar.google.com/scholar?cites=8119361925086271130&as_sdt=2005&sciodt=2007&hl=en",8,"2021-04-19 20:05:26","","","","",,,,,48,16.00,24,2,3,"A variety of research methods and techniques are available to SE researchers, and while several overviews exist, there is consistency neither in the research methods covered nor in the terminology used. Furthermore, research is sometimes critically reviewed for …"
59,"A Arpteg, B Brinne, L Crnkovic-Friis…","Software engineering challenges of deep learning",2018,"… Software Engineering …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8498185/","https://scholar.google.com/scholar?cites=3496482124688093322&as_sdt=2005&sciodt=2007&hl=en",9,"2021-04-19 20:05:26","","","","",,,,,59,19.67,15,4,3,"Surprisingly promising results have been achieved by deep learning (DL) systems in recent years. Many of these achievements have been reached in academic settings, or by large technology companies with highly skilled research groups and advanced supporting …"
254,"K Mao, L Capra, M Harman, Y Jia","A survey of the use of crowdsourcing in software engineering",2017,"Journal of Systems and Software","Elsevier","https://www.sciencedirect.com/science/article/pii/S0164121216301832","https://scholar.google.com/scholar?cites=4911235116192354224&as_sdt=2005&sciodt=2007&hl=en",10,"2021-04-19 20:05:26","","","","",,,,,254,63.50,64,4,4,"The term 'crowdsourcing'was initially introduced in 2006 to describe an emerging distributed problem-solving model by online workers. Since then it has been widely studied and practiced to support software engineering. In this paper we provide a comprehensive survey …"
