"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"What Do We Know about Knowledge Management? Practical Implications for Software Engineering","T. Dingsøyr; F. O. Bjørnson; F. Shull",SINTEF Information and Communication Technology; SINTEF Fisheries and Aquaculture; Fraunhofer Center for Experimental Software Engineering,"IEEE Software","17 Apr 2009","2009","26","3","100","103","There have been many claims about knowledge management's benefits in software engineering, such as decreased time and cost for development, increased quality, and better decision-making abilities. Although we can find some success stories illustrating these claims, particularly on aspects related to the systems and engineering schools, more research is necessary to explore the intersection between each school and the software engineering field. Researchers should continue to emphasize the need for a broad focus across multiple KM schools to suceed in improving KM's practical application in software engineering.","1937-4194","","10.1109/MS.2009.82","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4814968","software engineering;knowledge management;learning software organization;software process improvement;systematic review","Knowledge management;Software engineering;Educational institutions;Systems engineering and theory;Knowledge engineering;Guidelines;Software development management;Programming;Social network services;Space technology","knowledge management;software engineering","knowledge management;software engineering;decision making;software development","","28","","7","","17 Apr 2009","","","IEEE","IEEE Magazines"
"Research on National and International Software Engineering Standard Bodies","G. Li; H. Dong; Q. Zheng; M. Zhou; Y. Guo","Shandong Comput. Sci. Center, Jinan, China; Shandong Comput. Sci. Center, Jinan, China; Shandong Comput. Sci. Center, Jinan, China; Shandong Comput. Sci. Center, Jinan, China; Shandong Comput. Sci. Center, Jinan, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","The article analyzed the basic life cycle model of the software engineering process, and studied software engineering standards body model and main standards of ISO (International standard organization) and IEEE (Institute of Electrical and Electronics Engineers). It put forward the body model of China's software engineering standards, and pointed out the distinction of the two standard body models through comparative analysis. At last some advices were given for the future development of the standards body and standards of software engineering of China.","","978-1-4244-4507-3","10.1109/CISE.2009.5366526","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5366526","","Software engineering;Standards organizations;Software standards;ISO standards;Project management;Standards development;Software performance;Software quality;Collaborative software;Computer science","IEEE standards;ISO standards;software engineering","International software engineering standard body;national software engineering standard body;basic life cycle model;software engineering process;Institute of Electrical and Electronics Engineers","","","","7","","28 Dec 2009","","","IEEE","IEEE Conferences"
"Advancing Software Engineering Professional Education","M. Ardis; P. Bourque; T. Hilburn; K. Lasfer; S. Lucero; J. McDonald; A. Pyster; M. Shaw",Stevens Institute of Technology; École de Technologie Supérieure; Embry-Riddle Aeronautical University; Stevens Institute of Technology; US Department of Defense; Monmouth University; Stevens Institute of Technology; Carnegie Mellon University,"IEEE Software","23 Jun 2011","2011","28","4","58","63","The paper mentions that a reference curriculum for master's programs helps ensure software engineers possess the appropriate skills, knowledge, and experience to develop, maintain, and acquire complex systems.","1937-4194","","10.1109/MS.2010.133","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5590235","software engineering;computer and information science education;graduate programs;curriculum architecture;core body of knowledge;SWEBOK","Software engineering;Computer science education;Engineering education;Engineering profession;Career development","computer science education;software engineering","software engineering professional education;masters program;software engineering skill;software engineering knowledge;software engineering experience;complex systems development;complex systems maintenance;complex systems acquisition","","11","","15","","30 Sep 2010","","","IEEE","IEEE Magazines"
"Putting Human Aspects of Software Engineering in University Curricula","O. Hazzan",Technion–Israel Institute of Technology,"IEEE Software","14 Jun 2010","2010","27","4","90","91","Although people-related issues are central factors in determining the success of software projects, they do not receive sufficient attention in the software industry to improve project results. This essay describes two barriers to their getting more attention: barriers that originate in the academic status and positioning of software engineering. The essay also proposes several suggestions regarding the professional development of software practitioners.","1937-4194","","10.1109/MS.2010.104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5484115","human aspects of software engineering;software engineering education;computer science education;software projects;software industry;professional development of software engineers","Humans;Software engineering;Computer industry","computer science education;DP industry;software engineering","software engineering;university curricula;software projects;software industry","","3","","7","","14 Jun 2010","","","IEEE","IEEE Magazines"
"Where's the Theory for Software Engineering?","P. Johnson; M. Ekstedt; I. Jacobson",KTH Royal Institute of Technology; KTH Royal Institute of Technology; Peking University,"IEEE Software","21 Aug 2012","2012","29","5","96","96","Darwin's theory of natural selection, Maxwell's equations, the theory of demand and supply; almost all established academic disciplines place great emphasis on what their core theory is. This is not, however, the case in software engineering. What is the reason behind the software engineering community's apparent indifference to a concept that is so important to so many others?","1937-4194","","10.1109/MS.2012.127","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6276302","software engineering theory;theory;explanation;prediction;science;engineering","Software engineering;Predictive models","software engineering","software engineering theory;software engineering community","","17","","","","21 Aug 2012","","","IEEE","IEEE Magazines"
"Software Engineering for Spreadsheets","M. Erwig",Oregon State University,"IEEE Software","25 Aug 2009","2009","26","5","25","30","The idiosyncratic structure of spreadsheets allows the adaptation of proven software engineering principles to an end-user domain and thus makes software engineering accessible to many users.","1937-4194","","10.1109/MS.2009.140","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5222790","spreadsheets;software engineering;type checking;debugging;spatial analysis","Software engineering;Labeling;Embedded software;Software tools;Embedded computing;Application software;Runtime","software engineering;spreadsheet programs","software engineering;spreadsheets;idiosyncratic structure;end-user domain","","20","","15","","25 Aug 2009","","","IEEE","IEEE Magazines"
"Regress or Progress? Seeing Good Software Engineering Ideas Through","H. Erdogmus",Kalemun Research,"IEEE Software","25 Feb 2010","2010","27","2","4","7","In the last edition of From the Editor (""Deja Vu: The Life of Software Engineering Ideas,"" January/February 2010), I wrote about how modern software engineering ideas evolve. I represented an idea's maturation life cycle from conception to streaming in terms of nine states, interactions with the life cycle of other related ideas, and regressive loops that preempt an idea's normal progression and revert it to a previous state. In this edition, I discuss the levers that help prevent reversion, or at least premature reversion, and push a worthwhile idea forward toward the streamed state. These levers work only for good ideas, or those that have genuine merit, and before the idea reaches the streamed state. Once an idea reaches that point, we don't have much control; short attention spans are inevitably diverted elsewhere.","1937-4194","","10.1109/MS.2010.50","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5420787","software engineering innovation;diffusion of software innovations;adoptability of software innovations","Software engineering","software engineering","software engineering;maturation software life cycle","","","","","","25 Feb 2010","","","IEEE","IEEE Magazines"
"Collaboration Tools for Global Software Engineering","F. Lanubile; C. Ebert; R. Prikladnicki; A. Vizcaíno",University of Bari; Vector Consulting Services; Pontifícia Universidade do Rio Grande do Sul; University of Castilla-La Mancha,"IEEE Software","25 Feb 2010","2010","27","2","52","55","Software engineering involves people collaborating to develop better software. Collaboration is challenging, especially across time zones and without face-to-face meetings. We therefore use collaboration tools all along the product life cycle to let us work together, stay together, and achieve results together. This article summarizes experiences and trends chosen from recent IEEE International Conference on Global Software Engineering (IGSCE) conferences.","1937-4194","","10.1109/MS.2010.39","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5420797","software engineering;collaboration;global software development","Collaborative tools;Collaborative software;International collaboration;Software engineering;Collaborative work;Meetings","groupware;product life cycle management;software engineering","collaboration tools;global software engineering;product life cycle;IEEE international conference","","101","3","10","","25 Feb 2010","","","IEEE","IEEE Magazines"
"A Whisper of Evidence in Global Software Engineering","D. Èmite; C. Wohlin",NA; NA,"IEEE Software","23 Jun 2011","2011","28","4","15","18","A systematic review of global software engineering (GSE) literature from 2000 to 2007 shows the field to be immature. Studies report many challenges but little evidence regarding specific GSE practices directly related to project success or failure. There is evidence that distance matters and, furthermore, that GSE--although driven by cost-reduction goals--seldom brings immediate cost savings.","1937-4194","","10.1109/MS.2011.70","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5929523","software engineering;systematic literature review","Software engineering;Globalization;Cost benefit analysis;Research initiatives","cost reduction;software engineering","global software engineering;GSE practices;cost-reduction goals;cost savings","","23","","10","","23 Jun 2011","","","IEEE","IEEE Magazines"
"Maturing Software Engineering Knowledge through Classifications: A Case Study on Unit Testing Techniques","S. Vegas; N. Juristo; V. R. Basili","Universidad Politecnica de Madrid, Madrid; Universidad Politecnica de Madrid, Madrid; University of Maryland, College Park and Fraunhofer Center for Experimental Software Engineering, Maryland","IEEE Transactions on Software Engineering","31 Jul 2009","2009","35","4","551","565","Classification makes a significant contribution to advancing knowledge in both science and engineering. It is a way of investigating the relationships between the objects to be classified and identifies gaps in knowledge. Classification in engineering also has a practical application; it supports object selection. They can help mature software engineering knowledge, as classifications constitute an organized structure of knowledge items. Till date, there have been few attempts at classifying in software engineering. In this research, we examine how useful classifications in software engineering are for advancing knowledge by trying to classify testing techniques. The paper presents a preliminary classification of a set of unit testing techniques. To obtain this classification, we enacted a generic process for developing useful software engineering classifications. The proposed classification has been proven useful for maturing knowledge about testing techniques, and therefore, SE, as it helps to: 1) provide a systematic description of the techniques, 2) understand testing techniques by studying the relationships among techniques (measured in terms of differences and similarities), 3) identify potentially useful techniques that do not yet exist by analyzing gaps in the classification, and 4) support practitioners in testing technique selection by matching technique characteristics to project characteristics.","1939-3520","","10.1109/TSE.2009.13","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4775907","Classification;software engineering;software testing;test design techniques;testing techniques;unit testing techniques.","Software engineering;Software testing;Diseases;Knowledge engineering;System testing;Chemical elements;Application software;Software design;Chemistry;Civil engineering","program testing;software engineering","software engineering knowledge;unit testing techniques;engineering classification;matching technique characteristic;project characteristic;software testing","","29","","31","","6 Feb 2009","","","IEEE","IEEE Journals"
